#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:SimTree" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
25000	-18677.77461840773	-18624.667273122945	-53.1073452847841	-18624.667273122945	3.9318993599612706	9.211576045362659	2.5029162672660563	-37.419837114651976
26000	-18688.35290199508	-18631.626530851514	-56.726371143566276	-18631.626530851514	5.910418431796472	9.211576045362659	2.931226704558227	-39.740952557397264
27000	-18681.7375579704	-18622.12955065004	-59.60800732035873	-18622.12955065004	6.438698118190315	14.581537783150369	2.3375644447307256	-39.05160354133384
28000	-18686.639546756964	-18631.364311611982	-55.27523514498122	-18631.364311611982	3.98367741412105	9.134106580260452	1.956904529145277	-41.31977746455972
29000	-18681.32078392816	-18628.058282931644	-53.262500996515065	-18628.058282931644	2.8776678545408227	9.134106580260452	2.2712666943822835	-38.35443069416325
30000	-18683.214012926677	-18630.29244461035	-52.92156831632744	-18630.29244461035	3.5735364769966735	7.754208225882436	2.825558322072281	-37.71372476929304
31000	-18678.977066202275	-18628.240887618264	-50.73617858401131	-18628.240887618264	2.341822108530849	7.754208225882436	2.5355080830932324	-36.40727515509524
32000	-18680.603527246265	-18628.14555876356	-52.45796848270555	-18628.14555876356	2.0527437720842503	9.602219680125508	2.130534464304541	-37.50824638375456
33000	-18683.394488536836	-18630.560306370535	-52.83418216630072	-18630.560306370535	3.371982604393253	9.602219680125508	2.0256205434711387	-38.20238103957216
34000	-18682.106985465856	-18628.82828380436	-53.27870166149577	-18628.82828380436	4.770230867655897	8.725489115135002	2.1335874051680848	-39.19645879158515
35000	-18683.404444275177	-18627.519296563627	-55.88514771154785	-18627.519296563627	2.1633793989942323	13.724952226202948	2.0721822137897337	-36.98951806807944
36000	-18675.090571950775	-18623.053351659106	-52.037220291669925	-18623.053351659106	1.9122647730776885	9.076498212393586	2.053130014826591	-37.84777859826283
37000	-18676.398912023174	-18624.916225388257	-51.482686634917656	-18624.916225388257	2.1450215679097084	9.076498212393586	1.8568607579560992	-37.88800026536053
38000	-18681.108099073204	-18627.182011052166	-53.926088021037664	-18627.182011052166	2.4941527425088874	9.076498212393586	2.332497223121651	-38.890079029766746
39000	-18682.845134664138	-18628.903096566908	-53.94203809723148	-18628.903096566908	2.333697812323273	9.076498212393586	2.8126316661100756	-37.45107624841988
40000	-18679.6982973261	-18626.985570182314	-52.71272714378699	-18626.985570182314	4.484176904820474	9.076498212393586	1.9208131051294817	-38.924245782795374
41000	-18679.130775812628	-18626.380988168352	-52.74978764427651	-18626.380988168352	2.3016370737832395	9.076498212393586	1.8835142627490866	-39.074333078376995
42000	-18680.022560902835	-18625.137766723277	-54.8847941795567	-18625.137766723277	2.5342756164373776	9.076498212393586	2.9869300223734476	-37.86565549358337
43000	-18680.042817036465	-18625.679809115212	-54.363007921251885	-18625.679809115212	6.101832105614692	9.076498212393586	2.2772269749138223	-39.49448453061075
44000	-18681.64230540857	-18628.889128740444	-52.753176668126606	-18628.889128740444	3.624261959519792	9.076498212393586	2.3857304477759884	-37.55585487487285
45000	-18681.099420263887	-18627.56215877636	-53.537261487528035	-18627.56215877636	2.362807217600479	9.076498212393586	2.8477007442334035	-36.94002970500938
46000	-18682.32193192105	-18628.64651321613	-53.67541870492159	-18628.64651321613	2.581643213232492	9.076498212393586	2.1603287687043893	-39.16113230279389
47000	-18679.364652034725	-18628.861998591463	-50.502653443262965	-18628.861998591463	1.8376458897549335	9.076498212393586	1.6938008119682408	-37.40208812215389
48000	-18681.905367997184	-18626.64399998465	-55.26136801253088	-18626.64399998465	2.165262638976428	12.292072401207495	2.352641752699662	-36.948740803421785
49000	-18680.0852964297	-18625.85055345356	-54.2347429761395	-18625.85055345356	2.2604624893446457	12.161874523655642	2.337767865217219	-36.097386030892686
50000	-18680.264351411523	-18628.14543303229	-52.11891837923554	-18628.14543303229	3.175642152760511	8.13661405129717	2.23105780801466	-38.330185716051915
51000	-18678.86993302207	-18627.932906878104	-50.937026143966335	-18627.932906878104	2.1873724775201446	6.850628561325342	2.604572417638846	-37.302416517347915
52000	-18679.031524114493	-18624.18308632837	-54.84843778612508	-18624.18308632837	4.55103387324278	9.498294643406744	2.663944745164313	-38.386245933408695
53000	-18681.081867873036	-18628.25299000307	-52.82887786996257	-18628.25299000307	2.734282356313178	9.212709864230657	1.9407222657231964	-38.84385406745596
54000	-18677.99968212186	-18624.304574171856	-53.69510795000404	-18624.304574171856	2.3330900266226586	9.95494900822063	1.668622677525553	-39.79238921016698
55000	-18672.84481201592	-18620.11872461342	-52.726087402496674	-18620.11872461342	2.02237589486377	9.95494900822063	1.8494271486434037	-38.275476325938854
56000	-18674.379682334566	-18620.814975831978	-53.564706502589324	-18620.814975831978	2.18299675641135	9.646847825119277	1.523819862379944	-40.40888535538577
57000	-18677.00306298606	-18623.256701510603	-53.746361475455245	-18623.256701510603	2.505499058262926	9.646847825119277	1.8049469752957654	-39.73863998608253
58000	-18678.551450320872	-18627.165443504553	-51.386006816320474	-18627.165443504553	2.0712057555938936	9.646847825119277	2.0666136007895206	-36.58535615878487
59000	-18678.84533302619	-18623.9557981744	-54.88953485178975	-18623.9557981744	5.027430033746816	9.646847825119277	2.2923492203144726	-39.40483686236035
60000	-18679.60441156358	-18627.302251965008	-52.30215959857412	-18627.302251965008	3.171801731616352	9.646847825119277	1.9356779587399293	-37.89828361391607
61000	-18677.43031835976	-18622.598796614187	-54.83152174557203	-18622.598796614187	2.634190351016822	11.658061940909276	2.381682856772976	-37.06490165108444
62000	-18679.833326081935	-18628.290319816424	-51.543006265511	-18628.290319816424	1.749775442208561	8.393269492885437	1.763875443904821	-38.9133222944053
63000	-18679.149120627695	-18627.48178421643	-51.66733641126651	-18627.48178421643	2.5021266376973172	8.393269492885437	1.8335475094793048	-38.82652496872297
64000	-18678.819403124115	-18625.88306768777	-52.93633543634347	-18625.88306768777	4.9473296842584205	8.393269492885437	2.062164867728101	-39.40274412031873
65000	-18675.572371152735	-18623.074818486377	-52.49755266635713	-18623.074818486377	2.9291545766691915	9.310939835669803	1.912849350366564	-38.49876227227996
66000	-18676.55823946704	-18623.548189245772	-53.01005022126588	-18623.548189245772	2.5442678931330525	9.310939835669803	1.6780976882427208	-39.722628500291265
67000	-18676.574618201856	-18625.100296287597	-51.47432191425713	-18625.100296287597	2.0378684272906344	9.310939835669803	1.8653312008729983	-37.619525912584706
68000	-18675.18996862345	-18621.81547482391	-53.37449379954061	-18621.81547482391	2.0676704862285336	9.310939835669803	1.6226526381876418	-40.2550873817632
69000	-18687.125327410933	-18631.512140964354	-55.61318644657872	-18631.512140964354	7.233092695400431	7.221963338402331	3.120809385129039	-40.042887595943334
70000	-18684.740106901347	-18630.421513213023	-54.31859368832392	-18630.421513213023	5.3880802614889	8.847762623621412	2.3213334001240673	-39.54515005248452
71000	-18674.322330073675	-18621.210021122686	-53.112308950988194	-18621.210021122686	2.098503449693043	8.847762623621412	1.588783938126551	-40.55871216968672
72000	-18677.132298207183	-18624.971392806125	-52.16090540105917	-18624.971392806125	2.123653105036309	8.847762623621412	2.484543765527526	-36.892884900360805
73000	-18680.054427321375	-18626.269262364713	-53.78516495666267	-18626.269262364713	3.3452905292648536	9.151226192694146	1.662630784119387	-40.704326285098055
74000	-18676.971475090148	-18622.85949313306	-54.11198195708758	-18622.85949313306	2.013567136675766	9.151226192694146	1.4570621220376332	-41.65407862516464
75000	-18678.29349921293	-18625.649350212236	-52.644149000693055	-18625.649350212236	2.5163161385516943	9.151226192694146	1.634688621810727	-39.64798354824559
76000	-18679.260707461894	-18625.73350660107	-53.527200860822575	-18625.73350660107	2.155098392620937	9.151226192694146	2.474210641128173	-37.98702928923134
77000	-18678.44221837665	-18626.127730541597	-52.31448783505279	-18626.127730541597	2.201363428935528	9.151226192694146	2.0302895491907735	-38.11953169357488
78000	-18680.816119677125	-18627.3861799613	-53.4299397158235	-18627.3861799613	2.4053052924164584	9.151226192694146	1.76523758078175	-40.038171357403236
