#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:tree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:tree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter estimate="false" id="popSize.t:tree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:tree">
#                    <taxonset id="TaxonSet.noncoding" spec="beast.evolution.alignment.TaxonSet">
#                        <alignment filter="1,458-659,897-898" id="noncoding" spec="beast.evolution.alignment.FilteredAlignment">
#                        </alignment>
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:noncoding" name="distribution">
#            <parameter id="gammaShape.s:noncoding" name="x">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@noncoding" id="treeLikelihood.noncoding" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:noncoding" shape="@gammaShape.s:noncoding" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:noncoding" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:noncoding" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:noncoding" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.1stpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="2-457\3,660-896\3" id="1stpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:1stpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1stpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1stpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1stpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:1stpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.2ndpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="3-457\3,661-896\3" id="2ndpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:2ndpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2ndpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2ndpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2ndpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:2ndpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.3rdpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="4-457\3,662-.\3" id="3rdpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:3rdpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:3rdpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:3rdpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:3rdpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:3rdpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1stpos	treeLikelihood.2ndpos	treeLikelihood.3rdpos	treeLikelihood.noncoding	TreeHeight	gammaShape	CoalescentConstant
5000	-6381.2165928512095	-6376.2304746614245	-4.986118189784841	-1507.763786557143	-1146.0747183322749	-2668.7995803683075	-1053.5923894036994	0.24958796076707387	0.6493297053637008	-4.33678848442114
5200	-6381.215552310511	-6376.458365443953	-4.75718686655791	-1505.615299485375	-1144.1379912090802	-2673.6791165762165	-1053.025958173281	0.24958796076707387	0.6493297053637008	-4.107857161194209
5400	-6380.938022987497	-6375.588797620447	-5.349225367050519	-1508.687454165317	-1149.616294984898	-2662.2323111109204	-1055.0527373593118	0.25916076083385237	0.6493297053637008	-4.699895661686819
5600	-6379.042644337054	-6374.320426332559	-4.722218004495533	-1504.499156994494	-1143.6181898362508	-2673.4334264126733	-1052.7696530891405	0.24764505695696265	0.6493297053637008	-4.072888299131832
5800	-6384.759565443096	-6380.5656025268945	-4.193962916201461	-1501.2749881593581	-1142.0063075357243	-2684.7056953780634	-1052.578611453749	0.24764505695696265	0.6493297053637008	-3.5446332108377607
6000	-6379.865174780401	-6374.7272640476585	-5.137910732742055	-1507.72212429669	-1148.4272033506882	-2664.4723644952824	-1054.1055719049984	0.2588332156327378	0.6493297053637008	-4.488581027378355
6200	-6382.722272856574	-6377.77823618113	-4.9440366754447185	-1510.3404412734767	-1146.7935084210355	-2665.44293803589	-1055.2013484507274	0.2588332156327378	0.6493297053637008	-4.294706970081018
6400	-6384.507724998721	-6379.309670733775	-5.19805426494539	-1511.5762835036548	-1148.2298455932744	-2665.1566507355806	-1054.3468909012659	0.2588332156327378	0.6493297053637008	-4.548724559581689
6600	-6380.403857983832	-6375.148901640354	-5.254956343477658	-1509.152951343602	-1147.0057778773646	-2665.2167820792733	-1053.773390340115	0.2502907523894892	0.6493297053637008	-4.605626638113957
6800	-6382.6133114199565	-6377.272158492134	-5.341152927822427	-1507.2261880099136	-1151.286251845451	-2665.2195675947723	-1053.5401510419965	0.2582716708851615	0.6493297053637008	-4.691823222458726
7000	-6382.074578882984	-6377.146471949338	-4.928106933646151	-1508.3584863400079	-1144.8362058112918	-2670.91640557102	-1053.0353742270186	0.25375733210230544	0.6493297053637008	-4.2787772282824506
7200	-6386.991884050389	-6381.564882559907	-5.4270014904817865	-1512.7383817618052	-1150.9170273707853	-2662.0163597279493	-1055.893113699368	0.25375733210230544	0.6493297053637008	-4.777671785118086
7400	-6384.6133357919525	-6379.787279425683	-4.826056366269748	-1506.9382292104808	-1146.9541919850967	-2671.53049760258	-1054.3643606275252	0.26576265344894434	0.6493297053637008	-4.176726660906048
7600	-6385.627691417074	-6379.838795801232	-5.788895615842166	-1514.3051750121415	-1155.553446301637	-2653.988809475432	-1055.9913650120218	0.26576265344894434	0.6493297053637008	-5.139565910478465
7800	-6380.437146917184	-6375.647485728063	-4.789661189121026	-1506.873246899878	-1142.378072263376	-2673.7959462079402	-1052.6002203568682	0.24463217699857248	0.6493297053637008	-4.1403314837573255
8000	-6381.98497616421	-6377.34975444532	-4.635221718889554	-1507.5284414732946	-1145.1395072821445	-2670.589513443353	-1054.092292246528	0.26701898079678615	0.6493297053637008	-3.985892013525853
8200	-6383.058339021628	-6377.930185929981	-5.128153091647142	-1508.4376786020443	-1151.6965723038406	-2661.8604004674403	-1055.9355345566562	0.270966281804199	0.6493297053637008	-4.478823386283441
8400	-6382.113624172862	-6377.609369163636	-4.504255009225704	-1511.0185630232377	-1146.1810145266052	-2672.8770132523205	-1047.5327783614728	0.2582201645278153	0.4141809584672756	-4.090074050758429
8600	-6379.14159441065	-6375.366703390284	-3.7748910203660624	-1505.1310544647026	-1138.5590934257982	-2685.5125251975664	-1046.164030302216	0.25103043008428905	0.4141809584672756	-3.3607100618987866
8800	-6377.311647124969	-6372.280777566711	-5.03086955825811	-1508.9159771644768	-1148.3277703360354	-2667.3999118382926	-1047.637118227906	0.25103043008428905	0.4141809584672756	-4.616688599790835
9000	-6383.043655997037	-6378.043829219506	-4.999826777530483	-1507.2887187719648	-1155.1428341879025	-2667.2362324966616	-1048.3760437629767	0.2722887673747548	0.4141809584672756	-4.585645819063208
9200	-6378.00590841042	-6373.420308840969	-4.5855995694512846	-1507.4015068662482	-1150.161485649265	-2666.1047526723355	-1049.752563653119	0.2722887673747548	0.4141809584672756	-4.171418610984009
9400	-6380.272900600273	-6376.154435943632	-4.118464656640744	-1508.1771790921432	-1143.758503222947	-2673.591919201622	-1050.6268344269188	0.26240770902097266	0.4141809584672756	-3.7042836981734686
9600	-6374.856157349227	-6370.556116877313	-4.300040471913744	-1504.788380116883	-1140.1152690679373	-2679.996639680229	-1045.6558280122633	0.23619432019284525	0.4141809584672756	-3.8858595134464684
9800	-6374.809241562043	-6370.12304178376	-4.686199778283395	-1507.8878234954448	-1141.3930904226402	-2674.854244069748	-1045.987883795927	0.23619432019284525	0.4141809584672756	-4.27201881981612
10000	-6379.676462109053	-6374.328976444712	-5.3474856643417485	-1511.6054951002998	-1152.4027059673595	-2662.0028619113577	-1048.3179134656946	0.2664420309680382	0.4141809584672756	-4.933304705874473
10200	-6373.788220563104	-6368.450010794299	-5.338209768805047	-1509.786648884628	-1152.7336349183463	-2657.1427725676635	-1048.7869544236617	0.26724233812775616	0.40488853716991574	-4.933321231635132
10400	-6381.433586096597	-6374.207176499302	-7.226409597295088	-1517.5339488903867	-1167.1017078942843	-2638.5619066596696	-1051.0096130549614	0.26724233812775616	0.40488853716991574	-6.821521060125173
10600	-6379.985443147235	-6376.309060124968	-3.676383022267499	-1506.6669795460527	-1132.299464976728	-2693.549315237194	-1043.7933003649935	0.22357467776284332	0.40488853716991574	-3.271494485097583
10800	-6377.122931182018	-6371.483336290818	-5.639594891199295	-1509.0933689949586	-1152.063782461766	-2664.4227730435605	-1045.9034117905335	0.2424486637858838	0.40488853716991574	-5.234706354029379
11000	-6378.867099579119	-6373.5781465784175	-5.2889530007012855	-1510.9764472116533	-1148.508303786496	-2666.9487956815155	-1047.1445998987526	0.2423395967859423	0.40488853716991574	-4.88406446353137
11200	-6376.7909596336385	-6371.942390085327	-4.848569548311689	-1504.9949152138918	-1147.0945937624067	-2672.830689638162	-1047.0221914708673	0.2423395967859423	0.40488853716991574	-4.4436810111417735
11400	-6377.854364230046	-6373.083566971474	-4.770797258571065	-1503.9217575602536	-1147.3171764303847	-2675.8707397249336	-1045.9738932559017	0.23927873702520963	0.264291263616662	-4.506505994954403
11600	-6379.578170449216	-6374.818963608472	-4.759206840743585	-1511.2180736634775	-1144.231826840982	-2674.6692552081995	-1044.6998078958131	0.23927873702520963	0.264291263616662	-4.494915577126923
11800	-6376.368528403682	-6372.133007710494	-4.235520693187505	-1506.8686803678715	-1140.3503409838063	-2680.5880320303404	-1044.3259543284757	0.2402609700809725	0.264291263616662	-3.971229429570843
12000	-6375.032002844541	-6370.66987245071	-4.362130393831604	-1506.3094977034625	-1141.8036317401775	-2676.1656605403177	-1046.3910824667523	0.2402609700809725	0.264291263616662	-4.097839130214942
12200	-6375.901463082336	-6371.2785493904585	-4.622913691876993	-1507.1105210088333	-1144.1472160264896	-2673.7454880494406	-1046.2753243056948	0.24026379543651583	0.264291263616662	-4.358622428260331
12400	-6377.343740278274	-6372.745004112989	-4.598736165285122	-1508.8755035879092	-1145.2625277856898	-2671.9334688129006	-1046.6735039264886	0.25184714418324494	0.264291263616662	-4.33444490166846
12600	-6376.0764357781245	-6371.029031346767	-5.047404431357694	-1507.6576722847094	-1147.4593421260179	-2667.611943377959	-1048.30007355808	0.23891820521083876	0.264291263616662	-4.783113167741032
12800	-6377.433211216932	-6371.590945048603	-5.842266168328854	-1512.5280659386747	-1161.6544106877654	-2648.6590265303334	-1048.7494418918304	0.2769364551422817	0.264291263616662	-5.5779749047121925
13000	-6378.308402385039	-6372.206220883925	-6.102181501113845	-1512.7161608892586	-1162.3900148272758	-2646.3360363084917	-1050.7640088588996	0.2769364551422817	0.2603010010348395	-5.8418805000790055
13200	-6375.733769431001	-6371.233890850281	-4.499878580719733	-1507.6796679617103	-1144.6912033814876	-2673.08098381658	-1045.7820356905033	0.24518618961332514	0.2603010010348395	-4.239577579684893
13400	-6373.665836470491	-6368.983174238854	-4.682662231636884	-1504.4574482106786	-1145.8244212206562	-2671.702548226872	-1046.9987565806475	0.24518618961332514	0.2603010010348395	-4.422361230602045
13600	-6372.818720199734	-6367.734786399607	-5.083933800126518	-1506.9813007978246	-1149.0957918681174	-2664.4323947829184	-1047.2252989507472	0.2474874742432632	0.2603010010348395	-4.823632799091679
13800	-6374.627870122526	-6370.5277363739115	-4.100133748614345	-1505.222171003258	-1141.8252660928813	-2675.348760527339	-1048.1315387504337	0.2474874742432632	0.2603010010348395	-3.839832747579506
14000	-6376.08462628502	-6370.906823222166	-5.177803062853787	-1508.8718384567321	-1152.568731378308	-2661.962572645857	-1047.5036807412685	0.2555919379537281	0.2603010010348395	-4.917502061818947
14200	-6374.445481983809	-6369.266984241407	-5.17849774240244	-1508.3882319646145	-1151.4004559765576	-2662.1919061070153	-1047.2863901932194	0.2555919379537281	0.2603010010348395	-4.918196741367601
14400	-6375.298921436966	-6371.04906229164	-4.24985914532572	-1507.7170795158556	-1141.9835259447223	-2674.9463250509043	-1046.402131780159	0.24531432151075488	0.2603010010348395	-3.9895581442908803
14600	-6374.770108783529	-6370.625479343556	-4.144629439973144	-1502.9959027076914	-1142.7286398205915	-2678.5178183487737	-1046.3831184664996	0.24869204168582196	0.2603010010348395	-3.8843284389383044
14800	-6375.616433413988	-6371.725478984379	-3.890954429608749	-1504.5842190889432	-1139.8565933026464	-2680.5842110153976	-1046.7004555773915	0.24635328112782356	0.2603010010348395	-3.6306534285739094
15000	-6374.481952681695	-6369.611729449178	-4.87022323251664	-1509.832306789789	-1150.3578692207593	-2660.896511197678	-1048.5250422409508	0.264517496069108	0.2603010010348395	-4.609922231481801
15200	-6374.8997581367985	-6369.925073428625	-4.974684708173356	-1507.7578705550225	-1149.6379106550876	-2663.0843098232767	-1049.444982395238	0.2589157847490549	0.2603010010348395	-4.714383707138517
15400	-6374.584260194186	-6369.955948575491	-4.628311618695493	-1508.7553883120115	-1147.3811105358968	-2665.2363026766	-1048.5831470509825	0.2589157847490549	0.2603010010348395	-4.368010617660654
15600	-6378.9016623261405	-6372.752158590247	-6.149503735894022	-1512.863446576507	-1161.336903015323	-2647.07701024782	-1051.4747987505973	0.26959253191741966	0.2603010010348395	-5.889202734859182
15800	-6379.884944266977	-6373.5500460644	-6.334898202577255	-1512.1061997116071	-1163.634000640022	-2648.3193844712655	-1049.4904612415055	0.26959253191741966	0.2603010010348395	-6.0745972015424154
16000	-6381.438043583939	-6375.966820756589	-5.471222827350088	-1511.7680277697737	-1158.3282854486872	-2654.5552219047677	-1051.315285633361	0.26959253191741966	0.2603010010348395	-5.210921826315248
16200	-6379.250351857842	-6374.618682021376	-4.631669836465967	-1509.558393865789	-1151.7862609511528	-2665.963255269814	-1047.3107719346199	0.26959253191741966	0.2603010010348395	-4.371368835431127
16400	-6379.382614823609	-6375.151520262865	-4.2310945607441095	-1510.3786494747953	-1147.2757496629422	-2668.559748737381	-1048.9373723877466	0.26959253191741966	0.2603010010348395	-3.9707935597092705
16600	-6377.511816576134	-6373.880651992002	-3.6311645841324967	-1507.0019958235725	-1138.9889946157189	-2681.2742855953543	-1046.6153759573563	0.2629986834463538	0.3742230158126368	-3.25694156831986
16800	-6376.004809106999	-6371.396765425679	-4.608043681319662	-1508.4923766274771	-1148.837967553684	-2665.0616155804464	-1049.0048056640717	0.27245590078558746	0.3742230158126368	-4.233820665507025
17000	-6375.100317335113	-6369.329192765105	-5.771124570007054	-1512.1783611363749	-1156.1520363787895	-2652.3554712906935	-1048.6433239592475	0.26642595256298196	0.3742230158126368	-5.396901554194417
17200	-6379.310362827663	-6372.933742873041	-6.376619954621888	-1512.8747271693442	-1162.360566919413	-2648.1765233137235	-1049.5219254705607	0.26642595256298196	0.3742230158126368	-6.002396938809251
17400	-6381.191087109778	-6374.912706309138	-6.2783808006394795	-1509.8267477715992	-1162.3252565052562	-2652.3055305586154	-1050.4551714736676	0.26642595256298196	0.3742230158126368	-5.904157784826842
17600	-6379.9976998591765	-6374.4111628036035	-5.5865370555727765	-1510.9678436179354	-1158.3117886033262	-2652.477293749178	-1052.6542368331636	0.26642595256298196	0.20909226935980868	-5.377444786212968
17800	-6376.016675751483	-6370.068692414823	-5.947983336659229	-1511.6053502321001	-1158.5447439192526	-2650.7348852187424	-1049.1837130447273	0.26403151618664583	0.3748071525577209	-5.573176184101508
18000	-6379.863341813785	-6373.67780826692	-6.18553354686519	-1513.1930018498851	-1158.9267974478148	-2651.7483223561408	-1049.8096866130788	0.26403151618664583	0.3748071525577209	-5.810726394307469
18200	-6382.514663498139	-6377.615924955775	-4.898738542364348	-1511.2607575323657	-1148.7362804531797	-2668.359614818486	-1049.259272151744	0.26081681664034234	0.3748071525577209	-4.523931389806627
18400	-6375.964629724782	-6371.267400302704	-4.697229422077385	-1507.1098258493253	-1145.0284259047596	-2673.8842208820597	-1045.2449276665593	0.24484918853837273	0.3748071525577209	-4.322422269519664
18600	-6377.903428323201	-6373.60091490993	-4.302513413271693	-1504.911327623927	-1142.751618694288	-2678.6102769542877	-1047.327691637427	0.24484918853837273	0.3748071525577209	-3.927706260713972
18800	-6372.853676520914	-6367.860725605757	-4.992950915157218	-1507.3404892808012	-1146.0905976833665	-2667.8990669503255	-1046.530571691264	0.24484918853837273	0.3748071525577209	-4.618143762599497
19000	-6373.6631030614135	-6368.7903689372015	-4.872734124212223	-1506.223294846885	-1145.860411154583	-2670.53935845825	-1046.1673044774836	0.24484918853837273	0.3748071525577209	-4.497926971654502
