#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <parameter id="gammaShape.s:SimTree" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
31	-32677.330537234488	-32642.922937872198	-34.40759936229083	-32642.922937872198	2.3857019664354207	1.0	0.3	-33.60717107772153
32	-35957.33742324765	-35918.17483969082	-39.1625835568252	-35918.17483969082	2.8106806423265462	1.0	0.3	-38.3621552722559
33	-35193.57764678009	-35157.864996138574	-35.71265064151339	-35157.864996138574	0.6510145039451172	1.0	0.3	-34.91222235694409
34	-38242.11059104243	-38198.7724944358	-43.33809660663323	-38198.7724944358	1.494448318867083	1.0	0.3	-42.53766832206393
35	-34998.36328578953	-34964.56480761658	-33.798478172947256	-34964.56480761658	1.160569853666074	1.0	0.3	-32.998049888377956
36	-33485.200859051896	-33430.59215657851	-54.608702473385065	-33430.59215657851	1.489192031656313	1.0	0.3	-53.808274188815766
37	-39395.294233798806	-39356.81132328468	-38.482910514126935	-39356.81132328468	1.9328395400150808	1.0	0.3	-37.682482229557635
38	-36087.73701925938	-36068.08615536081	-19.650863898572144	-36068.08615536081	0.7657170804904576	1.0	0.3	-18.850435614002848
39	-35394.19047227229	-35361.69419376422	-32.496278508072855	-35361.69419376422	1.762705914461712	1.0	0.3	-31.695850223503555
40	-39438.976556108864	-39416.95333634299	-22.0232197658797	-39416.95333634299	1.1990866721278852	1.0	0.3	-21.222791481310402
41	-34484.4570393677	-34422.67451617287	-61.78252319483327	-34422.67451617287	1.3659091123232274	1.0	0.3	-60.98209491026397
42	-36074.93457132181	-36033.024598772405	-41.909972549408835	-36033.024598772405	1.371776790202921	1.0	0.3	-41.109544264839535
43	-38089.01979468559	-38056.75602341107	-32.26377127451855	-38056.75602341107	1.4947234154335431	1.0	0.3	-31.463342989949247
44	-38656.03262842076	-38628.50732455958	-27.52530386118617	-38628.50732455958	1.1114789230273825	1.0	0.3	-26.724875576616874
45	-36230.074770176594	-36209.09654907089	-20.97822110570487	-36209.09654907089	1.0600235819187276	1.0	0.3	-20.177792821135572
46	-36470.91251507674	-36438.35769756807	-32.55481750867505	-36438.35769756807	0.8258224305829803	1.0	0.3	-31.75438922410575
47	-37800.19931338275	-37758.78552699292	-41.413786389828516	-37758.78552699292	3.977467967374653	1.0	0.3	-40.613358105259216
48	-39848.174946705454	-39793.276246644506	-54.898700060952194	-39793.276246644506	2.8845037277485077	1.0	0.3	-54.098271776382894
49	-44926.59846762097	-44903.39898074879	-23.199486872180586	-44903.39898074879	1.2132837698075298	1.0	0.3	-22.39905858761129
50	-32886.89041733838	-32815.16251624832	-71.72790109005695	-32815.16251624832	5.424729061495775	1.0	0.3	-70.92747280548765
51	-38879.33900324881	-38846.47832274173	-32.86068050708162	-38846.47832274173	1.7552708929051124	1.0	0.3	-32.06025222251232
52	-34040.20984536001	-33998.16526150972	-42.044583850293684	-33998.16526150972	1.156920770628323	1.0	0.3	-41.244155565724384
53	-39579.95693053283	-39530.59837924296	-49.358551289873276	-39530.59837924296	1.6037154560606757	1.0	0.3	-48.558123005303976
54	-36785.74188858456	-36763.78506235624	-21.956826228319795	-36763.78506235624	2.474312771964799	1.0	0.3	-21.1563979437505
55	-35321.77109941497	-35288.81923429699	-32.95186511797612	-35288.81923429699	1.9738957612549561	1.0	0.3	-32.15143683340682
56	-36440.73252986699	-36408.66232092267	-32.0702089443255	-36408.66232092267	2.0224935205244217	1.0	0.3	-31.2697806597562
57	-35659.351940006534	-35611.02541304653	-48.32652696000263	-35611.02541304653	2.882213340020642	1.0	0.3	-47.52609867543333
58	-32066.649970273607	-32021.614808958664	-45.035161314944915	-32021.614808958664	1.4622781410946417	1.0	0.3	-44.234733030375615
59	-37401.32853328263	-37355.70534470533	-45.62318857729061	-37355.70534470533	1.6747743692619383	1.0	0.3	-44.82276029272131
60	-40668.723463740054	-40663.17768937575	-5.545774364302737	-40663.17768937575	0.5937792671576849	1.0	0.3	-4.745346079733439
61	-39038.58768837601	-39006.87766417273	-31.710024203273885	-39006.87766417273	1.512341036788567	1.0	0.3	-30.90959591870459
62	-36514.90717912014	-36441.87515039203	-73.03202872811237	-36441.87515039203	4.943436625830114	1.0	0.3	-72.23160044354307
63	-40384.20655627392	-40353.89525611858	-30.311300155340955	-40353.89525611858	1.0151306095609547	1.0	0.3	-29.51087187077166
64	-40362.54566580541	-40355.14196141235	-7.403704393061854	-40355.14196141235	1.578786128269802	1.0	0.3	-6.6032761084925555
65	-33292.048630204095	-33247.132997899454	-44.91563230463997	-33247.132997899454	1.4435919811919076	1.0	0.3	-44.11520402007067
66	-37417.33679452862	-37402.63057781242	-14.7062167162033	-37402.63057781242	1.3013869869303099	1.0	0.3	-13.905788431634003
